time,solar_used_daily,solar_used_weekly,solar_used_total,grid_used_daily,grid_used_weekly,grid_used_total
2025-08-14T00:00:00Z,0,0,0,10,10,10
2025-08-15T00:00:00Z,295,295,295,5.03,15.03,15.03
2025-08-16T00:00:00Z,1.53,296.53,296.53,1.61,16.64,16.64
2025-08-17T00:00:00Z,4.54,301.07,301.07,4.67,21.31,21.31
2025-08-18T00:00:00Z,3.73,304.8,304.8,2.39,23.7,23.7
2025-08-19T00:00:00Z,4.91,309.71,309.71,0.74,24.44,24.44
2025-08-20T00:00:00Z,1.8,311.51,311.51,0.53,24.97,24.97
2025-08-21T00:00:00Z,2.96,314.47,314.47,1.76,26.73,26.73
2025-08-22T00:00:00Z,2.76,317.23,317.23,1.69,28.42,28.42
2025-08-23T00:00:00Z,2.07,319.3,319.3,2.08,30.5,30.5
2025-08-24T00:00:00Z,3.73,323.03,323.03,2.42,32.92,32.92
2025-08-25T00:00:00Z,6.21,329.24,329.24,0.01,32.93,32.93
2025-08-26T00:00:00Z,8.52,337.76,337.76,2.17,35.1,35.1
2025-08-27T00:00:00Z,6.84,344.6,344.6,0.69,35.79,35.79
2025-08-28T00:00:00Z,4.9,349.5,349.5,0.03,35.82,35.82
